param,WH Dim,id Dim,cv(WH),cv,cv_ppt,diff,INFO:
0.0,2.0,2.0,1.5000001613354788,3.0000003226709575,3.9999999998111764,0.9999996771402189,Generated by werner-holevo-channel-with-identity.jl
0.0,2.0,3.0,1.5000001613354788,4.500000484006437,5.999999999771247,1.4999995157648103,WH dim range: 2:8
0.0,2.0,4.0,1.5000001613354788,6.000000645341915,8.000000000028534,1.9999993546866186,id dim range: 2:8
0.0,2.0,5.0,1.5000001613354788,7.500000806677393,10.000000001295229,2.4999991946178355,WH parameter range: 1.0:-0.1:0.4
0.0,2.0,6.0,1.5000001613354788,9.000000968012873,11.999999998700817,2.9999990306879436,nothing
0.0,2.0,7.0,1.5000001613354788,10.500001129348352,13.999999999711907,3.499998870363555,nothing
0.0,2.0,8.0,1.5000001613354788,12.00000129068383,15.999999999354332,3.9999987086705016,nothing
0.0,3.0,2.0,1.5000001613354788,3.0000003226709575,3.4285714273782495,0.428571104707292,nothing
0.0,3.0,3.0,1.5000001613354788,4.500000484006437,5.399999976546361,0.8999994925399246,nothing
0.0,3.0,4.0,1.5000001613354788,6.000000645341915,7.200000001389932,1.1999993560480169,nothing
0.0,3.0,5.0,1.5000001613354788,7.500000806677393,8.999999999569992,1.4999991928925986,nothing
0.0,3.0,6.0,1.5000001613354788,9.000000968012873,10.799999999775245,1.799999031762372,nothing
0.0,3.0,7.0,1.5000001613354788,10.500001129348352,12.59999999914049,2.099998869792138,nothing
0.0,3.0,8.0,1.5000001613354788,12.00000129068383,14.399999998266424,2.3999987075825935,nothing
0.0,4.0,2.0,1.5000001613354788,3.0000003226709575,3.200000008629613,0.1999996859586557,nothing
0.0,4.0,3.0,1.5000001613354788,4.500000484006437,5.142857471141241,0.6428569871348042,nothing
0.0,4.0,4.0,1.5000001613354788,6.000000645341915,7.1111111119422645,1.1111104666003495,nothing
0.0,4.0,5.0,1.5000001613354788,7.500000806677393,8.888888888340665,1.3888880816632714,nothing
0.0,4.0,6.0,1.5000001613354788,9.000000968012873,10.666666667721067,1.6666656997081937,nothing
0.0,4.0,7.0,1.5000001613354788,10.500001129348352,12.444444445717362,1.9444433163690107,nothing
0.0,4.0,8.0,1.5000001613354788,12.00000129068383,14.22222222002459,2.222220929340759,nothing
0.0,5.0,2.0,1.5000001613354788,3.0000003226709575,3.0769230772493272,0.07692275457836972,nothing
0.0,5.0,3.0,1.5000001613354788,4.500000484006437,5.000000000445133,0.4999995164386961,nothing
0.0,5.0,4.0,1.5000001613354788,6.000000645341915,6.956521659100567,0.9565210137586524,nothing
0.0,5.0,5.0,1.5000001613354788,7.500000806677393,8.9285714289291,1.4285706222517067,nothing
0.0,5.0,6.0,1.5000001613354788,9.000000968012873,10.714285741720374,1.7142847737075009,nothing
0.0,5.0,7.0,1.5000001613354788,10.500001129348352,12.500000011755782,1.9999988824074304,nothing
0.0,5.0,8.0,1.5000001613354788,12.00000129068383,14.285714281891684,2.2857129912078538,nothing
0.0,6.0,2.0,1.5000001613354788,3.0000003226709575,3.0000000002861116,-3.223848459299461e-7,nothing
0.0,6.0,3.0,1.5000001613354788,4.500000484006437,4.909090908514168,0.40909042450773114,nothing
0.0,6.0,4.0,1.5000001613354788,6.000000645341915,6.857142875225886,0.857142229883971,nothing
0.0,6.0,5.0,1.5000001613354788,7.500000806677393,8.823529412263678,1.3235286055862847,nothing
0.0,6.0,6.0,1.5000001613354788,9.000000968012873,10.800000001376288,1.7999990333634148,nothing
0.0,6.0,7.0,1.5000001613354788,10.500001129348352,12.599999937819614,2.0999988084712626,nothing
0.0,6.0,8.0,1.5000001613354788,12.00000129068383,14.399999999623546,2.399998708939716,nothing
0.0,7.0,2.0,1.5000001613354788,3.0000003226709575,2.947368421575998,-0.05263190109495941,nothing
0.0,7.0,3.0,1.5000001613354788,4.500000484006437,4.846153846529029,0.34615336252259254,nothing
0.0,7.0,4.0,1.5000001613354788,6.000000645341915,6.7878787876491335,0.7878781423072185,nothing
0.0,7.0,5.0,1.5000001613354788,7.500000806677393,8.749999999316818,1.2499991926394252,nothing
0.0,7.0,6.0,1.5000001613354788,9.000000968012873,10.723404242406044,1.7234032743931706,nothing
0.0,7.0,7.0,1.5000001613354788,10.500001129348352,12.70370938835516,2.203708259006808,nothing
0.0,7.0,8.0,1.5000001613354788,12.00000129068383,14.518518532683913,2.518517242000083,nothing
0.0,8.0,2.0,1.5000001613354788,3.0000003226709575,2.909090908371894,-0.0909094142990634,nothing
0.0,8.0,3.0,1.5000001613354788,4.500000484006437,4.800000000904131,0.2999995168976941,nothing
0.0,8.0,4.0,1.5000001613354788,6.000000645341915,6.736842103112212,0.7368414577702973,nothing
0.0,8.0,5.0,1.5000001613354788,7.500000806677393,8.695652173364333,1.1956513666869402,nothing
0.0,8.0,6.0,1.5000001613354788,9.000000968012873,10.666666665355265,1.666665697342392,nothing
0.0,8.0,7.0,1.5000001613354788,10.500001129348352,12.645161291280667,2.1451601619323153,nothing
0.0,8.0,8.0,1.5000001613354788,12.00000129068383,14.628571427304777,2.6285701366209473,nothing
0.09999999999999998,2.0,2.0,1.4249999998728513,2.8499999997457026,3.733333454505842,0.8833334547601392,nothing
0.09999999999999998,2.0,3.0,1.4249999998728513,4.274999999618554,5.599999919054383,1.3249999194358288,nothing
0.09999999999999998,2.0,4.0,1.4249999998728513,5.699999999491405,7.466666442457844,1.7666664429664385,nothing
0.09999999999999998,2.0,5.0,1.4249999998728513,7.124999999364256,9.33333234289064,2.2083323435263846,nothing
