,0.0,0.05,0.1,0.15,0.2,INFO:
0.0,0.7499997754559171,0.47434392527483116,0.20369544668472805,0.0005299989627198798,4.838360876391334e-7,Generated by werner-holevo-non-multiplicativity-noise-robustness.jl
0.025,0.6587108486439193,0.39572849486037054,0.13870623001057014,-8.169694627468971e-7,4.039209677841882e-7,dim = 3
0.05,0.5723435341144523,0.3216097782804166,0.07827375013404048,-3.893348714534284e-7,6.851640153016092e-7,p_vals range: 0.0:0.025:0.3
0.075,0.4908990342529531,0.2520012018523836,0.022642296645766447,2.333526620823534e-7,2.2573439544260054e-6,mix_vals range: 0.0:0.05:0.2
0.1,0.41437906542099956,0.1869304389880857,2.9220111933181414e-5,-1.1597049525136072e-6,-1.1744589567541652e-7,Fixed p each row
0.125,0.342773659387992,0.12642841055239984,-4.0589803029789095e-7,6.110627466249241e-7,2.5102887355465953e-6,Fixed mix_val each column
0.15,0.2760940501607265,0.07054891358733162,-9.506055311803152e-7,1.7220465098333193e-7,2.6680552478453023e-7,First table is multiplicativity
0.175,0.21433582733893486,0.019370967530329297,7.415447456082802e-8,4.6973019962592844e-7,2.547166311206439e-6,Second table is single copy cvPPT values
0.2,0.15750016040754344,5.458696525906248e-7,-8.47344751253587e-7,8.630249537233681e-8,8.584524264776405e-7,nothing
0.225,0.1055863849967773,2.0667797917539588e-8,-2.5933249498955036e-6,4.059972313896765e-8,5.731128616126568e-7,nothing
0.25,0.05859337080120941,-5.318717499758208e-7,3.158203194519871e-7,-2.627477790451138e-6,2.7374758682086053e-7,nothing
0.275,0.01652239485052398,3.754269886080408e-7,3.201223179871704e-7,2.0777749094591513e-6,1.6470640082921761e-6,nothing
0.3,2.6706990374769646e-7,6.700222274780288e-7,-1.268337188609081e-6,-1.1243391324633478e-6,1.2563993836423037e-6,nothing
0.0,0.0,0.0,0.0,0.0,0.0,nothing
,0.0,0.05,0.1,0.15,0.2,nothing
0.0,1.4999999998420968,1.5283820497259901,1.5636642878101414,1.605908605981744,1.6549832473688209,nothing
0.025,1.481250000090464,1.5106961428826993,1.547274038398292,1.5909973163534703,1.6416704408345,nothing
0.05,1.4624999999787147,1.4930197273144725,1.5309191134300892,1.576154896588515,1.6284598144252034,nothing
0.075,1.4437499999021284,1.475354946187126,1.5146031749244055,1.561388160146437,1.6153602905988955,nothing
0.1,1.4249985736371342,1.4577019350659333,1.4983311079444022,1.5467056781815167,1.6023838203228513,nothing
0.125,1.4062500044965063,1.4400632568042264,1.482108208708808,1.5321150658459266,1.5895398039470399,nothing
0.15,1.3875001099059996,1.422440217015428,1.4659407551023087,1.5176282306489308,1.5768424762716535,nothing
0.175,1.3687500013949885,1.4048354534594722,1.4498352300335178,1.5032558805391265,1.5643048306219443,nothing
0.2,1.3500000002392119,1.3872515817042734,1.433800760511968,1.4890124289184479,1.5519459963050508,nothing
0.225,1.331249999902819,1.3696921760157705,1.4178475171879787,1.474913503001175,1.5397815380629967,nothing
0.25,1.3125000349933311,1.3521608833823142,1.4019864121365382,1.4609778130064228,1.5278335582194211,nothing
0.275,1.2937502801775775,1.3346630266380037,1.3862331881558059,1.4472252356291366,1.5161253106311208,nothing
0.3,1.275000000137409,1.3172044606292566,1.3706057069455917,1.433685018991299,1.5046842728643406,nothing
