n\lambda:,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,INFO:
1.0,1.5000001613354788,1.4249999998728513,1.3499999989433555,1.2750000005696762,1.1999999170990223,1.1250000001507727,1.0499999998927199,1.0499999999794598,1.1999999999731163,1.3500000000862005,1.500000002547283,Generated by multi-copy-werner-holevo-cv.jl
2.0,3.0000000001664477,2.44500000010472,1.980000000019193,1.6256249999766637,1.4400000001768811,1.2656250293549554,1.1024999998263305,1.1024999999701313,1.440000000067325,1.8225000000910645,2.2500009633320786,d = 3
3.0,5.400000000093413,3.9565124988876037,2.843099999571263,2.07267187505745,1.7280000001759765,1.4238281248533313,1.1576249995598864,1.1576249997958057,1.7279999992155721,2.460374999734827,3.3750000006286407,"n_list = [1, 2, 3, 4, 5, 6, 7, 8]"
4.0,10.125000000168505,6.647758593423004,4.182637498787615,2.642656641374428,2.0735993038021276,1.6018066376801603,1.2155062504782388,1.2155062502220009,2.0736000038754336,3.3215062499750316,5.062500000200642,"lambda_list = [0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
5.0,18.339622646846255,10.834609903852272,6.047880278719875,3.369387183036018,2.4883196905977534,1.8020324554363527,1.2762815414067061,1.2762816527135896,2.4883200007054658,4.4840334361081275,7.593750002272944,nothing
6.0,33.51724217330636,17.813783317174135,8.804635832220344,4.295968496163927,2.9859842368208227,2.0272865946855276,1.3400954984229903,1.3400956426245978,2.985983995978673,6.053445136831144,11.390624997280783,nothing
7.0,60.75000043059436,29.056862921122303,12.748596477872326,5.4773587963640935,3.583180987078787,2.2806978304012153,1.4064815305006515,1.4071004240170906,3.583180805823759,8.172150932896912,17.085937480710783,nothing
8.0,109.55868301790248,47.16176863326299,18.389384249358937,6.983998798777759,4.294063740970973,2.5636946605663273,1.47546583700086,1.4774554455523183,4.299816949153658,11.032403774739992,25.628906197927982,nothing
,,,,,,,,,,,,nothing
lambda:,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,nothing
cv(N^2) - cv(N)^2,0.7499995161599853,0.41437500046709363,0.15750000287213317,-1.476010647039061e-9,1.9913922066905343e-7,2.901571671820591e-8,5.161870930692203e-11,1.3265610832036145e-11,1.318456455123851e-10,-1.4167667039544085e-10,9.55690229176298e-7,nothing
cv(N^4) - cv(N^2)^2,1.1249999991698179,0.6697335929109229,0.26223749871161095,8.253002725666647e-10,-6.967072900820881e-7,-7.724957140631261e-8,8.611800161872907e-10,2.878615124046746e-10,3.681537741329066e-9,-3.568985107449407e-10,-4.334794639682116e-6,nothing
cv(N^8) - cv(N^4)^2,7.043058014490256,2.9690743168335985,0.8949278030946175,0.00036467457738709186,-0.0057503317576959034,-0.0020898439498928667,-0.0019896079508070486,1.2235690238782126e-9,-2.691854028569196e-8,6.116794182275953e-9,-5.4103519886439244e-8,nothing
