input val,PPT CV,2 Sym CV,3 Sym CV,PPT-2Sym,2Sym - 3Sym,INFO:
0.45,1.8712759087780082,1.8154310383094738,1.8154298574183274,0.05584487046853437,1.1808911464239458e-6,Generated by co-positive-map-investigation.jl
0.47,1.8476517708832176,1.7742036799905545,1.7742025224157705,0.07344809089266313,1.1575747840275596e-6,"scan_range = [0.45, 0.47, 0.49, 0.51, 0.53, 0.55, 0.57, 0.59, 0.61, 0.63, 0.65, 0.67, 0.69, 0.71, 0.73, 0.75]"
0.49,1.8265324283198232,1.7340036978487612,1.73400417088306,0.09252873047106203,-4.730342988423786e-7,nothing
0.51,1.8076517347145324,1.6956890582411808,1.6956887519271735,0.11196267647335167,3.0631400727010316e-7,nothing
0.53,1.790766882000571,1.6644910212773387,1.6637427128136277,0.12627586072323238,0.0007483084637109894,nothing
0.55,1.7756662747510645,1.6444674675162227,1.6374776660732024,0.13119880723484179,0.006989801443020305,nothing
0.57,1.7621613092145068,1.633367051578336,1.6156868676969929,0.1287942576361707,0.01768018388134318,nothing
0.59,1.7500816314146066,1.62755941146838,1.6088437133536797,0.12252221994622658,0.018715698114700308,nothing
0.61,1.7392823468761964,1.625296931765374,1.6155091454895525,0.11398541511082239,0.009787786275821553,nothing
0.63,1.7296317193029112,1.625687326076249,1.6216389588961873,0.10394439322666216,0.0040483671800617405,nothing
0.65,1.721014229642344,1.6281884674993115,1.6272608112008151,0.09282576214303262,0.0009276562984963377,nothing
0.67,1.7133273816628642,1.6324045417910822,1.632403500303075,0.08092283987178206,1.041488007169633e-6,nothing
0.69,1.706481649624888,1.6370896622258393,1.637089790107588,0.06939198739904873,-1.27881748746006e-7,nothing
0.71,1.7003964139050036,1.6413450794660789,1.6413439302217816,0.05905133443892474,1.1492442972826922e-6,nothing
0.73,1.6950013327913085,1.6451900863055442,1.6451891151309495,0.04981124648576429,9.711745947438288e-7,nothing
0.75,1.6902335980580487,1.648648634029034,1.6486483748441934,0.04158496402901468,2.5918484070075465e-7,nothing
