λ,cv(N),cv(N^2),cv(N)^2,non-mult,INFO:
0.0,1.5000001613354788,3.0000000001664477,2.2500004840064625,0.7499995161599853,Generated by werner-holevo-non-multiplicativity.jl
0.001,1.499250000028784,2.994004500128935,2.247750562586309,0.746253937542626,nothing
0.002,1.4985000000909574,2.988018000396439,2.245502250272599,0.74251575012384,nothing
0.003,1.4977499999513357,2.9820404994862173,2.2432550623542262,0.7387854371319911,nothing
0.004,1.4969999999022399,2.976071999823323,2.241008999707306,0.7350630001160168,nothing
0.005,1.4962500001972927,2.9701124989580245,2.2387640630903984,0.7313484358676261,nothing
0.006,1.4954999998269147,2.96416200003212,2.236520249482302,0.7276417505498181,nothing
0.007,1.494749999951725,2.958220500020985,2.234277562355682,0.7239429376653028,nothing
0.008,1.494000000166047,2.952288000186703,2.2320360004961484,0.7202519996905545,nothing
0.009,1.4932500000822322,2.946364500139998,2.2297955627455863,0.7165689373944115,nothing
0.01,1.492500000038453,2.940450000168687,2.227556250114782,0.712893750053905,nothing
0.011,1.4917499999846757,2.934544499730619,2.22531806245428,0.7092264372763388,nothing
0.012,1.4909999997819585,2.928648000200794,2.2230809993498,0.7055670008509938,nothing
0.013,1.4902499999593135,2.9227605000038164,2.220845062378734,0.7019154376250825,nothing
0.014,1.489499999999238,2.9168820000116673,2.21861024999773,0.6982717500139373,nothing
0.015,1.488749999843408,2.91101249966787,2.216376562033747,0.6946359376341231,nothing
0.016,1.4879999999274671,2.9051519998823974,2.214143999784142,0.6910080000982552,nothing
0.017,1.4872499999569495,2.8993004999552876,2.2119125623719462,0.6873879375833414,nothing
0.018,1.4864999997977915,2.893457999949568,2.209682249398834,0.6837757505507343,nothing
0.019,1.4857493772457027,2.887624500175882,2.2074512119859935,0.6801732881898883,nothing
0.02,1.484999465184832,2.8817999997384742,2.205223411599237,0.6765765881392372,nothing
0.021,1.4842496157846181,2.875984499707803,2.2029969219567866,0.6729875777510164,nothing
0.022,1.4834997738688318,2.8701779997121504,2.200771579068875,0.6694064206432753,nothing
0.023,1.4827500406170002,2.8643804997804163,2.198547682949716,0.6658328168307004,nothing
0.024,1.4820009553096658,2.858592000094828,2.196326831538762,0.6622651685560661,nothing
0.025,1.4812498302156005,2.852812500046279,2.1941010595137453,0.6587114405325338,nothing
0.026,1.4804997930096468,2.8470419994246963,2.191879637101607,0.6551623623230891,nothing
0.027,1.4797497117230773,2.841280500038495,2.1896592093445304,0.6516212906939645,nothing
0.028,1.478999668834203,2.8355279999920104,2.1874400204116826,0.6480879795803278,nothing
0.029,1.478250355639601,2.8297844997976527,2.185224113948607,0.6445603858490458,nothing
0.03,1.4775001711290745,2.824049999418672,2.1830067556864443,0.6410432437322275,nothing
0.031,1.4767508860708176,2.8183245001053416,2.1807931795109448,0.6375313205943969,nothing
