input val,PPT CV,2 Sym CV,Diff,INFO:
0.45,1.8712759087780082,1.8154310383094738,0.05584487046853437,Generated by co-positive-map-investigation.jl
0.47,1.8476517708832176,1.7742036799905545,0.07344809089266313,"scan_range = [0.45, 0.47, 0.49, 0.51, 0.53, 0.55, 0.57, 0.59, 0.61, 0.63, 0.65, 0.67, 0.69, 0.71, 0.73, 0.75]"
0.49,1.8265324283198232,1.7340036978487612,0.09252873047106203,nothing
0.51,1.8076517347145324,1.6956890582411808,0.11196267647335167,nothing
0.53,1.790766882000571,1.6644910212773387,0.12627586072323238,nothing
0.55,1.7756662747510645,1.6444674675162227,0.13119880723484179,nothing
0.57,1.7621613092145068,1.633367051578336,0.1287942576361707,nothing
0.59,1.7500816314146066,1.62755941146838,0.12252221994622658,nothing
0.61,1.7392823468761964,1.625296931765374,0.11398541511082239,nothing
0.63,1.7296317193029112,1.625687326076249,0.10394439322666216,nothing
0.65,1.721014229642344,1.6281884674993115,0.09282576214303262,nothing
0.67,1.7133273816628642,1.6324045417910822,0.08092283987178206,nothing
0.69,1.706481649624888,1.6370896622258393,0.06939198739904873,nothing
0.71,1.7003964139050036,1.6413450794660789,0.05905133443892474,nothing
0.73,1.6950013327913085,1.6451900863055442,0.04981124648576429,nothing
0.75,1.6902335980580487,1.648648634029034,0.04158496402901468,nothing
